node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,scenario_sample_size,scenario_freq,scenario_d_freq,scenario_m_freq,scenario_c_freq,scenario_h_freq,scenario_r_low,scenario_r_high,scenario_r_range,scenario_s_low,scenario_s_high,scenario_s_range,scenario_a_low,scenario_a_high,scenario_a_range,scenario_x_low,scenario_x_high,scenario_x_range,scenario_y_low,scenario_y_high,scenario_y_range,node_age,selection,true_x,true_y,true_angle,true_selection
340,1.17734426452739,0.717854983822413,2.45534679777425,136.146397520569,-17.9246169695946,0,0,3,0,1.36783612527927,-0.0213915786673369,4.22199670651921,132.961862768097,-17.5158134153262,8952,0.049733057038572,0.559130227054294,0.460614107699402,0.313014927694846,0.163482425097638,-5.872011,11.11115,16.983161,-5.299353,5.260935,10.560288,1.74597,6.163416,4.417446,127.2233,139.0491,11.8258,-20.16978,-14.47081,5.69897,17.3649461986,0,0.999999958750104,-0.000287227767082561,6.28289807940855,0
341,0.575259733600369,0.54225596067393,0.859273956045072,140.030353423037,-18.9987675997356,1,0,0,1,-0.279757917621411,0.183435616724566,1.60451453138249,139.752957674583,-18.9133128110599,2821,0.0156721351548047,0.499552780262332,0.54284142865873,0.281181771212382,0.162199098893895,-8.797619,9.033538,17.831157,-3.760205,4.749703,8.509908,-2.354364,7.096517,9.450881,134.2466,145.1985,10.9519,-21.76259,-16.29226,5.47033,15.4618332846,1,0.707264497183119,0.706949030004505,0.785175094414359,1
342,-0.992000834480153,0.348305554633643,0.837894091756457,143.347299941667,-19.8673968882951,1,0,2,7,1.31797822262295,-0.38685804954827,1.24856711823315,143.210542222222,-19.7140112313297,2745,0.0152499152782485,0.508169399058894,0.559308003844423,0.242087543958089,0.14976027910956,-6.725641,5.491937,12.217578,-5.218608,3.694588,8.913196,-3.175184,4.121097,7.296281,137.9437,148.5259,10.5822,-22.10109,-17.14239,4.9587,10.5423294986,3,0.712616914588299,-0.701553371485487,5.50561032993326,3
343,-1.4905688307725,0.289970554728113,0.70763412246952,144.661109867167,-20.0299725465414,0,0,2,0,-1.70209617674419,0.830079547298222,1.5630816582394,143.958354343365,-20.0584273529412,2924,0.0162443541980322,0.511574935694802,0.526152632485375,0.263481869545169,0.160343553646924,-11.15228,4.630541,15.782821,-1.705179,3.349766,5.054945,-1.456495,4.14218,5.598675,138.6382,149.1267,10.4885,-22.28232,-17.82887,4.45345,8.0893146656,0,0.999905743853068,-0.0137296543890372,6.26945522140618,0
344,-1.48554029345248,0.122818362600925,0.845403423613265,144.858975746246,-20.0167678364009,0,0,0,3,-2.12983442056464,0.962793925655275,2.05275488104012,144.86032808321,-20.0224757147103,3365,0.0186943405869967,0.530374831250938,0.56652463041872,0.272404042199766,0.164243531980378,-12.33847,8.350344,20.688814,-3.238528,3.123972,6.3625,-1.275802,6.893569,8.169371,139.4671,149.6617,10.1946,-22.28633,-17.98537,4.30096,7.1861459989,3,-0.71917827792409,0.694825592909574,2.37341529004869,3
345,0.670917562224688,0.157001630213054,0.98161758626381,141.76729616891,-18.6936064450753,0,0,0,4,-2.02631898183813,0.723382081454047,1.05073187639232,141.465588477366,-18.6393651056241,3645,0.020249887500625,0.541546991405603,0.524424864306309,0.298915006027744,0.167376847906401,-10.80912,5.916664,16.725784,-2.956967,8.080395,11.037362,-2.074267,6.185145,8.259412,135.8493,147.4991,11.6498,-21.44531,-16.05547,5.38984,12.1878679986,0,-0.999900892778946,0.014078516252315,3.12751367222483,0
346,0.70195588913756,0.0670625655728913,0.756536774835521,142.74053672424,-18.2463747902512,0,0,1,6,-0.710765105880893,0.275654577729529,0.636130042475186,142.481841811414,-18.1597841873449,3224,0.0179110116054911,0.499897222793207,0.531741490325054,0.275892911706046,0.142460319664891,-13.42558,8.713396,22.138976,-4.528464,5.127188,9.655652,-1.973909,3.214569,5.188478,136.944,148.3745,11.4305,-20.75415,-15.61801,5.13614,9.25269399860001,2,0.00195776517989024,-0.999998083575914,4.71434674681522,2
347,2.01305732254822,0.381110960483564,1.04320461015975,135.214589440614,-16.1908994420753,0,0,3,2,0.0165503820412424,1.41725252655703,2.03865360284521,135.176582850431,-17.8237431062386,3831,0.0212832150932495,0.506336075910689,0.551208048844173,0.234176476797351,0.148060288553952,-13.05962,12.11559,25.17521,-2.998273,6.304186,9.302459,-1.374537,4.505562,5.880099,128.5827,140.9724,12.3897,-20.77618,-14.67539,6.10079,15.4882149986,2,0.000229942074071076,0.999999973563321,1.5705663847188,2
348,2.77844684670091,0.0127300554706007,0.856767482148432,134.98282955428,-15.4004612593986,1,0,0,1,0.761283756700288,0.706409506476945,1.51075469463256,134.612601368876,-15.2197799956772,2776,0.0154221365436859,0.512252709707168,0.524452641929767,0.261576324575975,0.167621290992828,-13.92219,13.78109,27.70328,-5.169677,7.532454,12.702131,-2.220858,6.133162,8.35402,128.0436,140.2513,12.2077,-18.49647,-12.04406,6.45241,13.9391289986,1,0.707388437663617,0.706825012474677,0.784999761615119,1
349,1.45972345593565,3.91246191431786,3.04561911529058,128.611987633402,-26.5340446903073,0,0,3,4,1.09143167753468,3.60744198932549,4.50041644634614,133.388862406496,-25.9044691356051,15641,0.0868939617002128,0.618079899556114,0.418186565630191,0.301053883033983,0.368814617696568,-5.870823,7.711411,13.582234,-0.7261479,7.731781,8.4579289,1.377483,6.450889,5.073406,125.7499,139.9149,14.165,-29.54578,-21.97662,7.56916,20.2971223146,0,-0.999243892827784,-0.038879848847139,3.18048230451242,0
350,0.351165104415309,4.21109894452809,1.07474747433626,124.249907751068,-26.7333292450042,0,0,2,4,1.33264977310316,3.99715386873877,3.6335462836772,126.083190232945,-26.5992908136439,6010,0.0333887033960922,0.56470797384459,0.524052644151977,0.257154126921517,0.21884322864873,-3.695532,5.362095,9.057627,0.2458401,7.370406,7.1245659,-0.5615601,6.402578,6.9641381,119.2351,132.9537,13.7186,-29.63175,-23.51707,6.11468,19.5887151238,0,-0.998633145508679,-0.0522670134161332,3.19388349383424,0
351,-2.01449928749156,5.80555953374092,0.850613301314915,121.695186690074,-27.1945284302309,0,0,2,4,-2.29933331727349,5.56886351063339,2.85575401822567,122.871269400168,-27.6238834228188,4768,0.0264887417292126,0.52588041177549,0.51698046121966,0.239043116427131,0.197893345036972,-7.089863,2.314569,9.404432,2.433229,8.394376,5.961147,-1.253319,6.561185,7.814504,118.0942,128.6147,10.5205,-29.95031,-25.19974,4.75057,17.9279580368,0,-0.992685699758317,0.12072738502652,3.0205700592354,0
352,-2.47244076601474,8.61400126318465,0.689599108472964,118.535670141833,-26.7434638389787,1,1,2,0,-2.13008811177823,8.41788824961676,0.836049061507409,118.360336050077,-26.6210583597343,3914,0.0217443236426464,0.504836084243976,0.497869456280798,0.240704218309898,0.146710296053911,-7.457994,2.874602,10.332596,4.568354,11.72559,7.157236,-2.362233,4.668524,7.030757,113.1792,123.3295,10.1503,-29.04025,-24.22861,4.81164,15.4327645698,0,0.985606285440287,-0.169056943367019,6.11331254568309,0
353,-2.79565786688185,9.95850466450186,0.548809328160755,116.979123898201,-26.2630540724774,0,0,3,4,-3.21877763453482,9.69854851713819,1.03976140601415,118.107591022851,-26.5199762159956,3676,0.0204221087660624,0.540230332053711,0.52210265498525,0.262187432292043,0.196643351981378,-8.295847,3.47842,11.774267,6.602801,12.57271,5.969909,-4.586606,4.039286,8.625892,112.8202,123.2022,10.382,-28.84894,-24.41989,4.42905,13.4515636648,0,-0.962244055730168,0.272188128345007,2.86592636626375,0
354,-2.68203367316675,9.39995308919395,0.549328169573364,116.409895596691,-25.7211513239926,1,0,3,2,-0.982060968650436,10.1471970138263,0.467180812834385,116.663447339946,-26.7163743703036,3327,0.0184832306487186,0.495497247237515,0.569263504091644,0.232932039266449,0.14797695568358,-9.150832,9.001835,18.152667,5.850765,15.4446,9.593835,-3.722706,3.004753,6.727459,111.2615,121.4629,10.2014,-29.43881,-23.69748,5.74133,12.4036887478,2,-0.0490387359107674,0.998796877438187,1.61985473871157,2
355,-4.01394993887248,7.14509376876462,0.787035579176282,115.621375286804,-25.6718879432336,1,0,3,2,-4.6452062547092,7.78018814778646,1.19227490486328,115.875581336806,-26.6832543315972,4608,0.0255998577785679,0.530758162454653,0.501897211682157,0.244793084482864,0.12277154015811,-11.58879,-0.7492903,10.8394997,4.281484,10.96777,6.686286,-0.696987,3.503308,4.200295,111.1673,120.3709,9.20360000000001,-28.96034,-24.28033,4.68001,6.5389675978,2,-0.219633838431479,0.975582378385267,1.79223545528427,2
356,-4.13374897170105,7.2780033104205,0.566069430380798,115.498906248299,-26.5410709528836,1,0,0,4,-3.44564077644462,7.71496644087747,1.51838355864098,115.579681861958,-26.6889629935795,3738,0.0207665512969372,0.528497063905201,0.601113327148183,0.321692657263015,0.152993594480031,-7.553669,4.145099,11.698768,5.81716,10.4532,4.63604,-1.289539,6.356373,7.645912,112.0225,119.3184,7.2959,-28.20018,-25.13013,3.07005,4.4955784978,0,-0.972910544106594,0.231181904928158,2.90830033214683,0
357,-4.38995227271113,6.72230443355315,0.323382691584191,115.574216618241,-26.3425353087483,0,1,1,6,-4.93101735817636,6.60937881215758,0.430072774249935,115.604784581268,-26.1241136133577,3833,0.0212943261426325,0.505780523441536,0.466486297298348,0.285853967477958,0.1555713579369,-8.650999,2.821288,11.472287,4.353198,9.244189,4.890991,-1.891416,3.227303,5.118719,111.9518,119.2544,7.3026,-27.83553,-24.46093,3.3746,4.1888259978,2,0.221205013574298,-0.975227328354571,4.93543890135441,2
358,-3.74582570964969,9.16274169847945,0.308544031442181,115.161755721357,-27.0351117804901,1,0,1,6,-3.77096729985113,8.46633785155253,1.18165631047852,115.082776563165,-26.481213136963,4702,0.0261220770995717,0.526852628596508,0.561219104338309,0.286398408897728,0.150299165004639,-9.564111,2.613683,12.177794,5.939997,10.99751,5.057513,-3.243002,4.615259,7.858261,111.6245,118.5694,6.9449,-28.34225,-24.58239,3.75986,3.5281669978,2,0.182830574614942,-0.98314443546509,4.89625376879226,2
359,-0.850551116287676,8.53807291473381,0.657730960334332,115.493317637124,-24.6479766022411,0,0,0,3,-0.575242714027516,8.1329176776369,1.71602205950634,115.374589425411,-24.5989039870515,3707,0.0205943300314998,0.512174932361487,0.560013555480247,0.324053755256915,0.134199254448586,-5.931653,6.060619,11.992272,4.165935,12.62192,8.455985,-2.159773,6.380988,8.540761,110.2457,120.4725,10.2268,-26.97646,-22.17968,4.79678,7.6421689978,3,-0.523690832909253,0.851908393858643,2.12197396641126,3
360,0.702963522844049,7.47108623513358,0.72418065867993,115.163433298148,-23.9424391074494,0,1,3,3,0.928298509881602,7.62426198722673,0.587476133082781,115.322120756571,-24.114110449521,4071,0.0226165410192166,0.585007861067439,0.466730740384776,0.265298526119299,0.171926822628763,-3.948076,4.84273,8.790806,3.268847,11.55531,8.286463,-2.306774,4.256129,6.562903,110.7338,120.3136,9.57979999999999,-26.2031,-21.976,4.2271,5.0543619978,3,-0.527476013648915,0.8495699235643,2.12642324379151,3
361,-3.86272131672084,15.4721241163605,0.457813879869434,115.568965024639,-26.6738953551369,1,0,0,3,-3.15163078586622,15.3978407111671,1.74704278869437,115.620557010915,-26.4541485306465,3573,0.0198498897228349,0.528991505602747,0.580452330820384,0.303887200626663,0.112349375836801,-7.813163,4.857102,12.670265,9.838128,20.20244,10.364312,-1.137379,8.643409,9.780788,110.2808,120.5767,10.2959,-28.8579,-24.2395,4.6184,9.2017074978,3,-0.380084476164135,0.924951777650617,1.96068395189965,2
362,-2.49867427126424,15.9604329874278,0.227023505913923,114.281785173416,-25.7710023350426,0,1,1,0,-2.86047532922609,16.4909741267243,0.993417580841712,114.125272620996,-25.6993205868599,4277,0.0237609791056716,0.476402908872728,0.369809056616352,0.289920611552158,0.195926689296171,-6.926349,2.552797,9.479146,11.48695,20.20808,8.72113,-2.296581,2.796934,5.093515,109.924,117.7909,7.86689999999999,-27.41667,-24.04623,3.37044,3.2157979978,0,0.916647449665213,-0.399696701290191,5.87199936324693,3
363,-5.43450686794188,19.4777906472853,0.0419729075740691,115.192258865784,-27.6070392557264,0,0,0,3,-5.86192588106061,19.6061125511364,1.8647300782197,115.244722727273,-27.6834313219697,5280,0.0293331703712757,0.460108554952472,0.635663135204804,0.368409064394087,0.111966044633085,-11.72352,0.6417044,12.3652244,15.14489,23.07144,7.92655,-3.886544,8.087632,11.974176,110.1771,120.2708,10.0937,-29.84446,-25.39838,4.44608,6.1086559978,3,-0.384052491566816,0.923311260475751,1.96497772310481,3
364,-2.12317420775235,11.4797037242876,0.534425228220121,116.501100644996,-27.227488735007,1,0,0,5,-2.3847448738758,11.2206519429872,0.644284818110278,116.55185117773,-27.2790168013919,3736,0.0207554402475542,0.511613824367642,0.539430336498131,0.284937305903856,0.136338131454825,-9.928395,7.125543,17.053938,6.50613,17.01805,10.51192,-3.436731,6.024731,9.461462,110.5034,122.5115,12.0081,-30.32835,-24.76586,5.56249,9.8538749988,1,-0.368454139647293,-0.929645925595747,4.33504335728932,2
365,-3.15021484785299,5.8372423736207,2.34063171612142,121.880752517486,-27.640592672374,1,0,3,7,-3.14944875942767,6.32646235128738,3.5137559733056,121.215552621387,-26.5809137430969,13943,0.0774606807739957,0.705751634713141,0.520802662207432,0.28578730118166,0.333131482602874,-7.959827,1.295899,9.255726,3.274809,10.72608,7.451271,0.934843,4.851842,3.916999,116.6191,125.9466,9.3275,-28.92039,-24.29576,4.62463,16.7196834148,3,0.630257318146623,-0.776386316805381,5.3942735779336,3
366,-3.14802118128266,6.05730155413525,1.02903377163932,121.275617422681,-26.922935186249,0,0,1,5,-2.52121170980547,6.82548834647739,2.17194803746057,121.251682386961,-26.1709714957939,3804,0.0211332159265782,0.487313959366892,0.528252620818773,0.273798478897339,0.156421353214704,-8.286854,2.201156,10.48801,4.327885,9.20098,4.873095,-3.089376,5.422061,8.511437,116.0805,126.3214,10.2409,-28.81245,-23.39122,5.42123,16.4748722981,1,-0.567393269365265,-0.823446949037396,4.10905222333969,1
367,-4.30559686346854,7.13847386198815,0.759291053779996,121.039014974361,-27.688876538797,1,1,0,0,-3.73690527412803,6.0633973247025,2.22324874439885,121.930456668034,-27.8153923553549,4874,0.0270776273465147,0.549741390325609,0.469030727607069,0.250654163032428,0.2014822139877,-8.959527,0.2191191,9.1786461,1.495475,9.834281,8.338806,-1.829853,5.399023,7.228876,116.8505,126.627,9.7765,-30.27317,-25.39041,4.88276,15.3384041651,0,0.980802730640176,-0.195002573236291,6.08692523341433,0
