node	reconstructed	mean	clade
334	0.16386944697361	0.445750638201188	lerista
335	0.00751108741887485	0.0926411759374857	lerista
336	0.647129945845347	0.472609615183042	lerista
337	0.174834455401795	0.095569520936028	lerista
338	0	0.0703445959010126	lerista
339	0.48643678876123	0.232532710121041	lerista
340	0.175438486789657	0.786124732493649	lerista
341	0	0.471711719727578	lerista
342	0.607125045108198	0.323366982361325	lerista
343	0	0.35524352223655	lerista
344	0.28020157388039	0.471641167901593	lerista
345	0	0.164518988414791	lerista
346	0.11831606035952	0.157970609872743	lerista
347	0.23783067536406	0.406817805004591	lerista
348	0	0.185805382183135	lerista
349	1.3573357067475	1.22518027133877	lerista
350	0.899671838401379	1.07910519953745	lerista
351	0.286328277803611	0.228223171402897	lerista
352	0.171842261581383	0.288879124627287	lerista
353	0.149984086632899	0.289635031253401	lerista
354	0.664976639145535	0.0728769014542029	lerista
355	0.537014346449025	0.157968041738879	lerista
356	0.02177623514491	0.182135938875597	lerista
357	0.245162221016095	0.194030754418848	lerista
358	NA	0.320891912449117	lerista
359	0.277022854159259	0.553538076728537	lerista
360	0.400597473160368	0.229729473837252	lerista
361	0.044903074049865	0.688256601130865	lerista
362	0.24698961145227	0.224679588972109	lerista
363	0.24391553673632	0.515933126709866	lerista
364	0.00502041143373644	0.0494660559978012	lerista
365	0.335469622772429	1.08841063220125	lerista
366	0.0356898344878331	0.588235503544541	lerista
367	0.0524428678050803	0.126728053233179	lerista
368	0.174170958318062	0.291349643258948	lerista
369	0.00816943325325603	0.0788078941634419	lerista
370	0.0133667638010233	0.15589636084213	lerista
371	0.0962361047944054	0.11756073839569	lerista
372	0.57400812046346	0.336194223592314	lerista
373	0.333213936639335	0.1205069021376	lerista
374	0.391934284969329	0.882182643081488	lerista
375	NA	0.166008777662724	lerista
376	0.783669378564907	0.556403432237648	lerista
377	0.47984576406231	0.125536294572401	lerista
378	0.0300961712751702	0.0697704933865806	lerista
379	0.25607262651008	0.181177880562652	lerista
380	0.0176856833265475	0.541411525323466	lerista
381	1.59948552044675	0.394721503599058	lerista
382	0.210780669073463	0.424417680664988	lerista
383	0.424802943936156	0.160908135163547	lerista
384	0.166556128993083	0.251802481277863	lerista
385	0.218569211705592	0.178590918698721	lerista
386	0.0498461717139254	0.160280073313074	lerista
387	0.13249661924898	0.185308587908575	lerista
388	NA	0.22469785535889	other
389	0.103012246739433	0.201617842891696	other
390	0.0241006367310046	0.130721228343314	other
391	0.0449476257122505	0.198667409863325	other
392	0.18663649109215	0.504620270163491	other
393	0.0676516638375277	0.09822549855451	other
394	NA	0.00794200402730142	other
395	NA	NA	other
396	0.465243685114838	0.315876701644062	other
397	0.264781720810605	0.135511092670312	other
398	0.747041636833316	0.729256822370206	other
399	2.028857193369	0.681586743136384	other
400	0.47905578797864	0.245516304155992	other
401	0.144996168490434	0.561032136244541	other
402	0.118441949117485	0.200534253820392	other
403	0.420988473934908	0.493911607506165	other
404	0.0821940749289549	0.781009452421528	other
405	0.318195446876877	0.418855954871569	other
406	0.84235987395274	0.671095593858574	other
407	0.20247703905435	0.0971678372600305	other
408	0.0459189378690046	0.523989405566844	other
409	0.195058401359912	0.569714349686441	other
410	0.22655060275776	0.35200105725662	other
411	0.70447694016513	0.253176319528487	other
412	1.17902275166023	0.714753925952324	other
413	0.177124186086174	0.227574567737319	other
414	0.131104847815427	0.293594341181736	other
415	0.0259700672348124	0.0998416711085659	other
416	0.0290485646374572	0.0596794199126164	other
417	0.0214619445019331	0.106147589356267	other
418	0.256096331236683	0.234267734864034	other
419	0.29793659204572	0.37417612975128	other
420	0.27903253459136	0.217958986760082	other
421	0.511475156537394	1.03394868027003	other
422	2.01670964645396	0.63080698327112	other
423	0.0436412010912788	0.158883310199784	other
424	0.486411717929361	0.239055859988391	other
425	0.0531732020632507	0.161583015571245	other
426	0.16280321365202	0.133600243257228	other
427	NA	0.285739192834545	other
428	0.658318838911456	0.343045037544824	other
429	0.146007520304717	0.154344489922806	other
430	0.0345674768494799	0.0507000601472673	other
431	0.0507477370054832	0.0752902220181738	other
432	0.0446564988270302	0.194710995465385	other
