"ID","precip","x","y"
271495,0.813744014293506,119.53125,-30.234375
271551,0.690184794901822,122.34375,-30.234375
271608,0.644517463825077,125.15625,-30.234375
271664,0.691033521961627,127.96875,-30.234375
271720,0.647091050249187,130.78125,-30.234375
271776,0.483641324836371,133.59375,-30.234375
271833,0.407310073299003,136.40625,-30.234375
271889,0.48933605948676,139.21875,-30.234375
271945,0.651717982987359,142.03125,-30.234375
272001,1.0642299560714,144.84375,-30.234375
272058,1.57902803623374,147.65625,-30.234375
272114,2.33303220985198,150.46875,-30.234375
294147,0.859055411399512,116.71875,-31.640625
294203,0.859767279340991,119.53125,-31.640625
294259,0.825243021020491,122.34375,-31.640625
294316,0.937604357166538,125.15625,-31.640625
294372,0.958439445103953,127.96875,-31.640625
294484,0.672087599527828,133.59375,-31.640625
294541,0.599342925837397,136.40625,-31.640625
294597,0.614620138242749,139.21875,-31.640625
294653,0.709842543500813,142.03125,-31.640625
294709,1.07400410343408,144.84375,-31.640625
294766,1.73018483834916,147.65625,-31.640625
294822,3.02647513742728,150.46875,-31.640625
316517,0.968021922858915,116.71875,-33.046875
316573,1.39972621492129,119.53125,-33.046875
316629,1.35523613963039,122.34375,-33.046875
316911,0.923148508352584,136.40625,-33.046875
316967,0.748418851065195,139.21875,-33.046875
317023,0.809171766715862,142.03125,-33.046875
317079,1.22546202903084,144.84375,-33.046875
317136,2.16079392325462,147.65625,-33.046875
317192,3.93253931649983,150.46875,-33.046875
336938,2.43876799388261,116.71875,-34.453125
337209,0.913675568023828,139.21875,-34.453125
337265,0.856810437254021,142.03125,-34.453125
337321,1.10206707400218,144.84375,-34.453125
337378,1.84440789297784,147.65625,-34.453125
352505,1.10026008245637,142.03125,-35.859375
352561,1.96950030212611,144.84375,-35.859375
352618,1.39548257962226,147.65625,-35.859375
359453,1.56928129411576,142.03125,-37.265625
359509,2.71805617941478,144.84375,-37.265625
359566,2.51718008053131,147.65625,-37.265625
